Silvana;Coperta
Tetyana;Fontana
Tania;Bottiglia
Silvio;Collana
Vanessa;Fontana
Vincenza;Cuscino
Valter;Zucchine
Vieri;Fagioli
Tiziana;Dentifricio
Vanda;Mutande
Vittorio;Sapone
Simona;Colori
Sveva;Panino
Wilma;Slitta
Vanni;Fiore
Valerio;Mandarino
Walter;Pistola
Tamara;Banana
Thomas;Birilli
Vincenzo;Pasta
Tatiana;Cucciolo
Zoe;Porta
Stella;Torta
Vasile;Specchio
Virginia;Asciugamano
Umberto;Divano
Valeria;Camicia
Viviana;Forchetta
Silvano;Vino
Stefano;Pomodori
Vittoria;Termometro
Stefania;Bottiglia
Ugo;Barca
Tommaso;Pannolino
Valentyna;Coca Cola
Svitlana;Coperchio
Silvia;Forbici
Valentina;Fazzoletto
Tosca;Tamburo
Simone;Straccio
Teresa;Bottone
Vania;Caramella
Vasco;Giacca
Tina;Minestra
Valentino;Pizza
Viola;Piatto
Tiziano;Armadio
Simonetta;Luce
Vilma;Letto
Tessa;Orecchio
Susanna;Spaghetti
Vanna;Mandarino
Vito;Cracker
Vera;Lavoro
Wanda;Minestra
Yuri;Scarpe
Sofia;Gonna
Veronica;Piatto
Vinicio;Leccalecca
Sonia;Sasso
